Date,average_price,supply_volume
2022-01-01,86.67,96650.0
2022-01-02,108.0,142555.0
2022-01-03,115.0,132175.0
2022-01-04,95.0,122675.0
2022-01-05,96.67,118475.0
2022-01-06,86.67,135350.0
2022-01-07,96.67,81375.0
2022-01-08,96.67,119750.0
2022-01-09,76.67,88300.0
2022-01-10,75.0,174700.0
2022-01-11,76.67,125500.0
2022-01-12,76.67,135190.0
2022-01-13,76.67,82150.0
2022-01-14,76.67,95875.0
2022-01-15,76.67,68475.0
2022-01-16,76.67,85550.0
2022-01-17,66.67,69753.0
2022-01-18,66.67,121750.0
2022-01-19,65.83500000000001,99600.0
2022-01-20,66.67,93550.0
2022-01-21,55.835,78800.0
2022-01-22,56.67,71625.0
2022-01-23,55.835,77425.0
2022-01-24,55.835,65375.0
2022-01-25,56.67,92050.0
2022-01-26,55.0,67475.0
2022-01-27,56.67,101050.0
2022-01-28,55.835,116825.0
2022-01-29,55.835,106550.0
2022-01-30,65.83500000000001,116275.0
2022-01-31,65.0,106425.0
2022-02-01,66.67,92550.0
2022-02-02,56.67,93000.0
2022-02-03,56.67,121075.0
2022-02-04,65.0,121046.0
2022-02-05,76.67,101275.0
2022-02-06,76.67,73000.0
2022-02-07,75.0,77875.0
2022-02-08,75.83500000000001,105275.0
2022-02-09,76.67,147600.0
2022-02-10,86.67,147025.0
2022-02-11,76.67,148250.0
2022-02-12,76.67,109125.0
2022-02-13,76.67,135625.0
2022-02-14,65.0,103075.0
2022-02-15,76.67,121330.0
2022-02-16,76.67,173071.0
2022-02-17,76.67,157550.0
2022-02-18,76.67,132275.0
2022-02-19,76.67,150775.0
2022-02-20,76.67,119250.0
2022-02-21,75.0,123155.0
2022-02-22,75.0,136275.0
2022-02-23,65.0,120400.0
2022-02-24,65.0,105050.0
2022-02-25,65.0,167200.0
2022-02-26,65.0,134100.0
2022-02-28,55.0,153975.0
2022-03-01,66.67,139850.0
2022-03-02,66.67,172615.0
2022-03-03,56.67,141200.0
2022-03-04,56.67,121700.0
2022-03-06,65.0,137750.0
2022-03-07,65.0,139400.0
2022-03-08,65.0,144450.0
2022-03-09,55.0,160800.0
2022-03-10,56.67,153075.0
2022-03-11,51.67,151920.0
2022-03-12,51.67,120170.0
2022-03-13,50.835,129700.0
2022-03-14,45.0,124525.0
2022-03-15,55.835,103581.0
2022-03-16,60.5,131225.0
