Date,कृषि उपज,ईकाइ,न्यूनतम,अधिकतम,औसत
10/19/2025,गोलभेडा ठूलो(नेपाली),के.जी.,रू ४३.००,रू ५३.००,रू ४७.२५
10/19/2025,गोलभेडा ठूलो(भारतीय),केजी,रू ५२.००,रू ६२.००,रू ५७.२५
10/19/2025,गोलभेडा सानो(लोकल),के.जी.,रू ३०.००,रू ४२.००,रू ३६.७५
10/19/2025,गोलभेडा सानो(टनेल),के जी,रू ३५.००,रू ५२.००,रू ४४.४०
10/19/2025,गोलभेडा सानो(भारतीय),के जी,रू ३५.००,रू ४२.००,रू ३८.३३
10/19/2025,आलु रातो,के.जी.,रू ६३.००,रू ६५.००,रू ६४.२०
10/19/2025,आलु रातो(भारतीय),के जी,रू ३२.००,रू ३४.००,रू ३३.००
10/19/2025,आलु रातो(मुडे),केजी,रू ४७.००,रू ४९.००,रू ४८.२०
10/19/2025,आलु सेतो,के.जी.,रू ५१.००,रू ५३.००,रू ५२.००
10/19/2025,प्याज सुकेको (भारतीय),के.जी.,रू ३२.००,रू ३४.००,रू ३३.००
10/19/2025,गाजर(लोकल),के.जी.,रू ११०.००,रू १२०.००,रू ११६.६०
10/19/2025,गाजर(तराई),केजी,रू १००.००,रू ११०.००,रू १०३.००
10/19/2025,बन्दा(लोकल),के.जी.,रू ४५.००,रू ५५.००,रू ५१.००
10/19/2025,काउली स्थानिय,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
10/19/2025,मूला रातो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
10/19/2025,मूला सेतो(लोकल),के.जी.,रू ४५.००,रू ५०.००,रू ४७.५०
10/19/2025,सेतो मूला(हाइब्रीड),केजी,रू ५०.००,रू ६५.००,रू ५७.५०
10/19/2025,भन्टा लाम्चो,के.जी.,रू ५०.००,रू ६०.००,रू ५७.००
10/19/2025,भन्टा डल्लो,के.जी.,रू ८०.००,रू ९०.००,रू ८६.२५
10/19/2025,बोडी(तने),के.जी.,रू १६०.००,रू १८०.००,रू १७२.००
10/19/2025,मकै बोडी,केजी,रू ६५.००,रू ७५.००,रू ७१.००
10/19/2025,मटरकोशा,के.जी.,रू ३००.००,रू ३५०.००,रू ३१८.००
10/19/2025,घिउ सिमी(लोकल),के.जी.,रू १४०.००,रू १५०.००,रू १४५.००
10/19/2025,घिउ सिमी(हाइब्रीड),केजी,रू १४०.००,रू १५०.००,रू १४५.००
10/19/2025,घिउ सिमी(राजमा),केजी,रू २३०.००,रू २४०.००,रू २३५.००
10/19/2025,टाटे सिमी,के.जी.,रू ११०.००,रू १२०.००,रू ११७.००
10/19/2025,भटमासकोशा,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
10/19/2025,तितो करेला,के.जी.,रू ८५.००,रू ९५.००,रू ९०.००
10/19/2025,लौका,के.जी.,रू ८०.००,रू ९०.००,रू ८७.२०
10/19/2025,परवर(लोकल),के.जी.,रू १००.००,रू ११०.००,रू १०४.००
10/19/2025,परवर(तराई),केजी,रू १००.००,रू ११०.००,रू १०४.००
10/19/2025,चिचिण्डो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
10/19/2025,घिरौला,के.जी.,रू १००.००,रू ११०.००,रू १०४.२५
10/19/2025,फर्सी पाकेको,के.जी.,रू ६५.००,रू ७५.००,रू ७०.००
10/19/2025,फर्सी हरियो(लाम्चो),के.जी.,रू ७०.००,रू ८०.००,रू ७६.००
10/19/2025,हरियो फर्सी(डल्लो),केजी,रू ३०.००,रू ४०.००,रू ३६.४०
10/19/2025,सलगम,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
10/19/2025,भिण्डी,के.जी.,रू १०५.००,रू ११५.००,रू ११०.००
10/19/2025,सखरखण्ड,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
