Date,Average_Price,Supply_Volume,USD_TO_NPR,Diesel,is_festival,Season_Autumn,Season_Monsoon,Season_Spring,Season_Winter,Inflation,Dhading_Wind_Speed,Dhading_Temperature,Dhading_Precipitation,Dhading_Rainfall_MM,Dhading_Air_Pressure,Kathmandu_Wind_Speed,Kathmandu_Temperature,Kathmandu_Precipitation,Kathmandu_Rainfall_MM,Kathmandu_Air_Pressure,Kavre_Wind_Speed,Kavre_Temperature,Kavre_Precipitation,Kavre_Rainfall_MM,Kavre_Air_Pressure,Sarlahi_Wind_Speed,Sarlahi_Temperature,Sarlahi_Precipitation,Sarlahi_Rainfall_MM,Sarlahi_Air_Pressure,day,month,day_of_week,is_weekend,month_sin,month_cos
2022-01-01,86.67,96650.0,119.24,119.0,0,0,0,0,1,6.03,6.9,6.95,0.0,0.0,854.0,7.5,10.35,0.0,0.0,874.8,6.4,8.5,0.0,0.0,851.7,9.4,15.05,0.0,0.0,1008.25,1,1,5,1,0.49999999999999994,0.8660254037844387
2022-01-02,108.0,142555.0,119.24,119.0,0,0,0,0,1,6.03,8.0,7.15,0.0,0.0,853.5,8.4,9.35,0.2,0.2,873.5999999999999,6.4,8.9,0.0,0.0,850.7,10.4,14.45,0.0,0.0,1006.6,2,1,6,0,0.49999999999999994,0.8660254037844387
2022-01-03,115.0,132175.0,119.24,119.0,0,0,0,0,1,6.03,6.6,7.449999999999999,0.0,0.0,851.55,9.4,11.0,0.0,0.0,872.3499999999999,6.1,9.35,0.0,0.0,849.7,10.9,14.3,0.0,0.0,1004.6,3,1,0,0,0.49999999999999994,0.8660254037844387
2022-01-04,95.0,122675.0,119.12,119.0,0,0,0,0,1,6.03,6.6,7.35,0.0,0.0,851.3,6.9,11.45,0.0,0.0,872.6,6.5,9.8,0.0,0.0,849.7,6.9,13.95,0.0,0.0,1005.6,4,1,1,0,0.49999999999999994,0.8660254037844387
2022-01-05,96.67,118475.0,119.59,119.0,0,0,0,0,1,6.03,7.0,9.15,0.0,0.0,852.8499999999999,6.5,11.1,0.0,0.0,872.5999999999999,7.4,9.4,0.0,0.0,849.1500000000001,7.9,14.65,0.0,0.0,1004.7,5,1,2,0,0.49999999999999994,0.8660254037844387
2022-01-06,86.67,135350.0,119.28,119.0,0,0,0,0,1,6.03,6.0,9.4,1.9,1.9,852.95,7.9,12.0,2.0,2.0,873.3,6.3,10.4,2.2,2.2,850.1,9.8,15.35,1.8,1.8,1004.2,6,1,3,0,0.49999999999999994,0.8660254037844387
2022-01-07,96.67,81375.0,119.49,119.0,0,0,0,0,1,6.03,8.7,10.5,0.0,0.0,853.35,7.7,13.05,0.3,0.3,873.6,5.3,11.3,0.3,0.3,850.6,8.8,16.3,0.1,0.1,1005.5,7,1,4,0,0.49999999999999994,0.8660254037844387
2022-01-08,96.67,119750.0,119.2,119.0,0,0,0,0,1,6.03,6.1,10.6,1.1,1.1,853.6,5.5,12.6,2.2,2.2,873.9,6.5,11.5,2.0,2.0,850.7,11.3,16.450000000000003,0.0,0.0,1004.85,8,1,5,1,0.49999999999999994,0.8660254037844387
2022-01-09,76.67,88300.0,119.2,119.0,0,0,0,0,1,6.03,7.7,10.8,0.0,0.0,851.45,7.4,13.0,0.0,0.0,871.2,5.8,11.15,0.1,0.1,848.05,8.7,16.15,0.0,0.0,1002.0,9,1,6,0,0.49999999999999994,0.8660254037844387
2022-01-10,75.0,174700.0,119.2,119.0,0,0,0,0,1,6.03,8.6,10.7,0.4,0.4,852.55,6.2,12.2,0.7,0.7,872.05,7.2,10.3,3.3,3.3,848.8,9.0,17.049999999999997,0.0,0.0,1003.1,10,1,0,0,0.49999999999999994,0.8660254037844387
