Date,कृषि उपज,ईकाइ,आगमन
01/01/2022,गोलभेडा ठूलो,के.जी.,"११,०००.००"
01/01/2022,गोलभेडा सानो,के.जी.,"८५,६५०.००"
01/01/2022,आलु रातो,के.जी.,"१६३,०००.००"
01/01/2022,प्याज सुकेको,के.जी.,"२३,४७०.००"
01/01/2022,गाजर,के.जी.,"११,४००.००"
01/01/2022,बन्दा,के.जी.,"३२,११५.००"
01/01/2022,काउली स्थानिय,के.जी.,"१०१,८८१.००"
01/01/2022,मूला सेतो,के.जी.,"२३,७०९.००"
01/01/2022,भन्टा लाम्चो,के.जी.,"२०,९८०.००"
01/01/2022,बोडी,के.जी.,"२,२००.००"
01/01/2022,मटरकोशा,के.जी.,"१४,१२५.००"
01/01/2022,घिउ सिमी,के.जी.,"२३,१२५.००"
01/01/2022,टाटे सिमी,के.जी.,"६,४५०.००"
01/01/2022,तितो करेला,के.जी.,"१३,४८०.००"
01/01/2022,लौका,के.जी.,"३,१२०.००"
01/01/2022,घिरौला,के.जी.,४०.००
01/01/2022,फर्सी पाकेको,के.जी.,"४,८००.००"
01/01/2022,फर्सी हरियो,के.जी.,"१३,७९०.००"
01/01/2022,सखरखण्ड,के.जी.,"४,६००.००"
01/01/2022,बरेला,के.जी.,"३,०००.००"
01/01/2022,पिंडालू,के.जी.,"१२,५७५.००"
01/01/2022,स्कूस,के.जी.,"१,९००.००"
01/01/2022,रायो साग,के.जी.,"७,८५८.००"
01/01/2022,प्याज हरियो,के.जी.,"२,२०५.००"
01/01/2022,तरुल,के.जी.,"१५,९००.००"
01/01/2022,च्याउ,के.जी.,"२,०१२.००"
01/01/2022,ब्रोकाउली,के.जी.,"८,४६८.००"
01/01/2022,कागती,के.जी.,"४४,६००.००"
01/01/2022,सुन्तला,के.जी.,"९,४२५.००"
01/01/2022,काक्रो,के.जी.,"१०,७००.००"
01/01/2022,लप्सी,के.जी.,५००.००
01/01/2022,स्ट्रबेरी भुईऐसेलु,के.जी.,४०.००
01/01/2022,अदुवा,के.जी.,"५,१९०.००"
01/01/2022,खुर्सानी हरियो,के जी,"१२,२३०.००"
01/01/2022,भेडे खु्र्सानी,के.जी.,"४,१७५.००"
01/01/2022,लसुन हरियो,के.जी.,"४,५५०.००"
01/01/2022,हरियो धनिया,के.जी.,"३,२४०.००"
01/01/2022,माछा ताजा,के.जी.,"३९,६८६.००"
01/01/2022,अन्य,के जी,"३,६४०.००"
01/01/2022,कुल जम्मा,के.जी.,"७५०,८२९.००"
01/02/2022,गोलभेडा सानो,के.जी.,"१४२,५५५.००"
01/02/2022,आलु रातो,के.जी.,"७०,७०२.००"
01/02/2022,आलु सेतो,के.जी.,"२५,०००.००"
01/02/2022,प्याज सुकेको,के.जी.,"११५,०६६.००"
01/02/2022,गाजर,के.जी.,"९,८३७.००"
01/02/2022,बन्दा,के.जी.,"४८,२९५.००"
01/02/2022,काउली स्थानिय,के.जी.,"११९,५५०.००"
01/02/2022,मूला सेतो,के.जी.,"१८,२३०.००"
01/02/2022,भन्टा लाम्चो,के.जी.,"२०,१००.००"
01/02/2022,बोडी,के.जी.,"६,५६०.००"
01/02/2022,मटरकोशा,के.जी.,"२२,८५०.००"
01/02/2022,घिउ सिमी,के.जी.,"९,४९६.००"
01/02/2022,टाटे सिमी,के.जी.,"१०,६५०.००"
01/02/2022,तितो करेला,के.जी.,"२,९९०.००"
01/02/2022,लौका,के.जी.,"२,२५०.००"
01/02/2022,फर्सी पाकेको,के.जी.,"४,७००.००"
01/02/2022,फर्सी हरियो,के.जी.,"१२,६६०.००"
01/02/2022,भिण्डी,के.जी.,"११,०००.००"
01/02/2022,सखरखण्ड,के.जी.,"२,७१०.००"
01/02/2022,बरेला,के.जी.,"३,५००.००"
01/02/2022,पिंडालू,के.जी.,"६,४२५.००"
01/02/2022,स्कूस,के.जी.,"२,५६५.००"
01/02/2022,रायो साग,के.जी.,"८,४४७.००"
01/02/2022,पालूगो साग,के.जी.,३००.००
01/02/2022,चमसूरको साग,के.जी.,२३०.००
01/02/2022,तोरीको साग,के.जी.,२००.००
01/02/2022,प्याज हरियो,के.जी.,"३,१००.००"
01/02/2022,तरुल,के.जी.,"१५,४००.००"
01/02/2022,च्याउ,के.जी.,"१,२९०.००"
01/02/2022,ब्रोकाउली,के.जी.,"१३,७८०.००"
01/02/2022,चुकुन्दर,के.जी.,३५०.००
01/02/2022,स्याउ,के.जी.,२००.००
01/02/2022,केरा,के.जी.,"२,४५०.००"
01/02/2022,कागती,के.जी.,"११,१२५.००"
01/02/2022,सुन्तला,के.जी.,"९,८७५.००"
01/02/2022,काक्रो,के.जी.,"२२,३४०.००"
01/02/2022,अम्बा,के.जी.,"१०,०००.००"
01/02/2022,लप्सी,के.जी.,३००.००
01/02/2022,अदुवा,के.जी.,"१४,४००.००"
01/02/2022,खुर्सानी हरियो,के जी,"१०,२८०.००"
01/02/2022,भेडे खु्र्सानी,के.जी.,"१७,४००.००"
01/02/2022,लसुन हरियो,के.जी.,"६,२००.००"
01/02/2022,हरियो धनिया,के.जी.,"३,०२३.००"
01/02/2022,लसुन सुकेको,के.जी.,"३,४००.००"
01/02/2022,माछा ताजा,के.जी.,"२४,१५६.००"
01/02/2022,अन्य,के जी,"२,५२०.००"
01/02/2022,कुल जम्मा,के.जी.,"८४८,४५७.००"
01/03/2022,प्याज हरियो,के.जी.,"२,२००.००"
01/03/2022,रायो साग,के.जी.,"८,८३५.००"
01/03/2022,निबुवा,के.जी.,"२,५००.००"
01/03/2022,हरियो धनिया,के.जी.,"२,७५०.००"
01/03/2022,प्याज सुकेको,के.जी.,"१००,०००.००"
01/03/2022,भेडे खु्र्सानी,के.जी.,"९,८२५.००"
01/03/2022,बोडी,के.जी.,"२,९००.००"
01/03/2022,लसुन हरियो,के.जी.,"२,८४०.००"
01/03/2022,फर्सी पाकेको,के.जी.,५००.००
01/03/2022,मटरकोशा,के.जी.,"३२,०००.००"
01/03/2022,गोलभेडा ठूलो,के.जी.,"८,०००.००"
01/03/2022,फर्सी हरियो,के.जी.,"७,५३०.००"
01/03/2022,सुन्तला,के.जी.,"१२,०५०.००"
01/03/2022,गाजर,के.जी.,"११,७८०.००"
01/03/2022,खुर्सानी हरियो,के जी,१००.००
01/03/2022,भन्टा लाम्चो,के.जी.,"१८,०५०.००"
01/03/2022,सखरखण्ड,के.जी.,"१०,०००.००"
01/03/2022,ब्रोकाउली,के.जी.,"२,५४०.००"
01/03/2022,अदुवा,के.जी.,"१,०५०.००"
01/03/2022,बकूला,के.जी.,"२,६००.००"
01/03/2022,बरेला,के.जी.,"२,५००.००"
01/03/2022,बन्दा,के.जी.,"६४,०७०.००"
01/03/2022,लसुन सुकेको,के.जी.,"३,६००.००"
01/03/2022,घिउ सिमी,के.जी.,"४,९७५.००"
01/03/2022,टाटे सिमी,के.जी.,"७,९००.००"
01/03/2022,तरुल,के.जी.,"१९,४००.००"
01/03/2022,च्याउ,के.जी.,"१,३२०.००"
01/03/2022,गोलभेडा सानो,के.जी.,"१२४,१७५.००"
01/03/2022,केरा,के.जी.,"३,१००.००"
01/03/2022,आलु रातो,के.जी.,"११९,११८.००"
01/03/2022,माछा ताजा,के.जी.,"१६,०५८.००"
01/03/2022,पिंडालू,के.जी.,"४,१७५.००"
