,0
Average_Price_lag1,0.9216555805156876
Average_Price_lag3,0.004277980508330125
Supply_Volume_rollmean_30,0.0042434083901667875
Average_Price_rollmean_7,0.0033495813008826113
Supply_Volume,0.0030246166149990165
USD_TO_NPR,0.002583017317855033
Supply_Volume_lag1,0.0024901479030149435
Supply_Volume_lag7,0.002391939218149256
Supply_Volume_lag3,0.002348547661839864
Supply_Volume_rollmean_7,0.0019285669680248938
Dhading_Rainfall_MM_rollmean_7,0.0018528917031835988
day,0.001750577610266705
Kavre_Rainfall_MM_rollmean_7,0.001743494552698666
Average_Price_rollmean_30,0.0016064387502410858
Sarlahi_Wind_Speed,0.0015320160708282712
Kathmandu_Rainfall_MM_lag1,0.0014801635058568265
Kavre_Wind_Speed,0.001463964203237933
Diesel,0.0014320538728034436
Kathmandu_Rainfall_MM_rollmean_7,0.001283142022510931
Dhading_Rainfall_MM_rollmean_30,0.0012571803931185747
